substrate,enzyme,temperature,time,ph,conversion
Polyurethane,PUase (PsEstA),34.92167081554125,2.6584778808327254,5.816949704417999,0.027742358727395958
Cellulose,Cellulase (TrCel7A),32.46220647865188,34.99558496777916,6.189613319284639,0.651254481734949
Lactose,β-Galactosidase,31.884088180211194,36.92548143898643,6.825777869178768,1.0
Starch,α-Amylase (Bacillus),33.22292915422244,25.163162506042553,5.928892229467527,1.0
p-Nitrophenyl-β-D-cellobioside,Cellulase,36.82702145531378,2.451916127197782,5.922223843214686,1.0
PET,PETase (FAST-PETase),33.37332925711921,37.026408705435955,5.463010992721415,0.23497576185474464
Lignin,Laccase (TrLcc1),33.69809734443036,54.705962911003496,5.955456549297227,1.0
Avicel,Cellulase (CtCel5A),47.290862658820956,71.7430559827714,5.792641236300474,0.828424845444266
Cellulose,Cellulase (TrCel7A),33.75597352296808,36.94964435504582,6.166120721769201,0.6887999083413662
Lactose,β-Galactosidase,25.18598725941709,14.638272808515431,6.133994628794093,1.0
Casein,Protease (Subtilisin),34.45566489525165,13.55663849277858,6.6840982823708535,1.0
Casein,Protease (Subtilisin),29.779835468744604,51.97137153323326,6.042304248160415,1.0
Lactose,β-Galactosidase,35.09312911366758,24.152275146431368,6.820006594643489,1.0
Starch,α-Amylase (Bacillus),37.19719005010674,63.06643680235197,6.377331377842473,1.0
Casein,Protease (Subtilisin),41.655093667352645,58.45166824456048,5.582512394069402,1.0
p-Nitrophenyl-β-D-cellobioside,Cellulase,31.76702517505436,49.59652518787539,4.656742876536825,1.0
Casein,Protease (Subtilisin),22.174528264603865,69.49295202257444,6.564799072963154,1.0
Starch,α-Amylase (Bacillus),44.23205239228179,27.40400783295658,5.4606536252071285,1.0
Avicel,Cellulase (CtCel5A),29.048356841792497,43.9631304454058,5.6328713744751155,0.9299209892169245
Lactose,β-Galactosidase,41.27757357833882,51.19079499536029,6.125543549522675,1.0
Polyurethane,PUase (PsEstA),37.70480916362864,70.02247630593801,6.38417659411675,0.08022954308679958
Starch,α-Amylase (Bacillus),33.96722884855765,7.714348770573529,6.347238076620139,1.0
Lignin,Laccase (TrLcc1),35.75271684569829,12.700490089554096,6.356856986348199,1.0
Glucose,Glucose Oxidase,21.338927844509,29.649100859515713,7.094521595827297,1.0
Polyurethane,PUase (PsEstA),36.62347059183433,23.478247262405592,6.258203995686214,0.06604543974992694
Casein,Protease (Subtilisin),40.86122847636172,40.300926673595,4.803291726112743,1.0
Glucose,Glucose Oxidase,41.19007565181011,40.70384777929093,5.965429902771465,1.0
Glucose,Glucose Oxidase,36.716677821575175,3.0162122620876057,5.4319656940653855,1.0
Cellulose,Cellulase (TrCel7A),39.79012074867514,47.12774169202043,7.245100737663174,0.6068883122084309
Lignin,Laccase (TrLcc1),33.0211607873233,56.62292575500155,5.3726856742273075,1.0
Polyurethane,PUase (PsEstA),42.07879209786073,11.814107046482137,6.823929942118158,0.1554679428083045
Polyurethane,PUase (PsEstA),28.638826158354313,31.360273571043905,6.287116892885535,0.08194087747262141
PET,PETase (FAST-PETase),34.69269019900244,19.350976738650935,5.252283094642147,0.06882158111466122
PET,PETase (FAST-PETase),32.733893340008954,62.06777518507281,6.2484036399004195,0.19274258146746395
Casein,Protease (Subtilisin),30.69157827899956,46.843515123310866,5.875532060105524,1.0
Glucose,Glucose Oxidase,21.19994758124374,15.641154560552554,5.903053843653389,1.0
Xylan,Xylanase (TlXyn10A),32.58514856310237,41.73424470602093,5.064205454378616,1.0
Xylan,Xylanase (TlXyn10A),32.264396923427086,37.983001304601146,5.645586256829164,1.0
Starch,α-Amylase (Bacillus),39.022769556172506,28.334312997349134,5.9905018907481455,1.0
p-Nitrophenyl-β-D-cellobioside,Cellulase,26.529837660178686,27.213568166564812,6.7392263939998855,1.0
Cellulose,Cellulase (TrCel7A),38.60102474850814,67.66170506553945,4.991099668898807,0.6700078086738543
Cellulose,Cellulase (TrCel7A),39.365802208644254,46.40099243952001,5.385372638348899,0.5976590955140807
Polyurethane,PUase (PsEstA),33.90131589623809,27.54206445003632,6.322309406224254,0.16432468986771695
Xylan,Xylanase (TlXyn10A),36.23645520918045,4.068376573637749,6.077213139639288,1.0
